method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0,reward_type
ipw,512,8,361,4.138698577880859,5.222835691757744,-1.084137113876885,1.084137113876885,0.20757633934143901,1.1753532816853018,0.52734375,-1.5,sigmoid
impute,512,8,361,2.0290989875793457,5.222835691757744,-3.1937367041783986,3.1937367041783986,0.6114947688701934,10.1999541356163,0.52734375,-1.5,sigmoid
scope,512,8,361,4.169092879451881,5.222835691757744,-1.0537428123058632,1.0537428123058632,0.20175683756791252,1.1103739144862697,0.52734375,-1.5,sigmoid
naive,512,8,362,4.277994155883789,5.220430561668871,-0.9424364057850818,0.9424364057850818,0.1805284822108242,0.8881863789491034,0.51708984375,-1.5,sigmoid
prox,512,8,362,5.20320463180542,5.220430561668871,-0.01722592986345095,0.01722592986345095,0.0032997143932787325,0.0002967326596605313,0.51708984375,-1.5,sigmoid
ipw,512,8,362,4.297473907470703,5.220430561668871,-0.9229566541981677,0.9229566541981677,0.17679703681435738,0.8518489855286762,0.51708984375,-1.5,sigmoid
impute,512,8,362,2.1860568523406982,5.220430561668871,-3.0343737093281726,3.0343737093281726,0.5812497022004526,9.207423807862014,0.51708984375,-1.5,sigmoid
scope,512,8,362,4.035461483587728,5.220430561668871,-1.184969078081143,1.184969078081143,0.22698684793967097,1.404151716008474,0.51708984375,-1.5,sigmoid
naive,512,8,363,4.224939346313477,5.2259576918106845,-1.001018345497208,1.001018345497208,0.19154734969742476,1.0020377280219674,0.541015625,-1.5,sigmoid
prox,512,8,363,5.296852111816406,5.2259576918106845,0.07089442000572177,0.07089442000572177,0.013565823565088668,0.005026018787947683,0.541015625,-1.5,sigmoid
ipw,512,8,363,4.28112268447876,5.2259576918106845,-0.9448350073319247,0.9448350073319247,0.18079652822534797,0.8927131910799182,0.541015625,-1.5,sigmoid
impute,512,8,363,1.94539213180542,5.2259576918106845,-3.2805655600052646,3.2805655600052646,0.627744377867058,10.762110393492655,0.541015625,-1.5,sigmoid
scope,512,8,363,3.8284181055163264,5.2259576918106845,-1.397539586294358,1.397539586294358,0.26742267517480417,1.9531168952598055,0.541015625,-1.5,sigmoid
naive,512,8,364,4.195937156677246,5.224667508792662,-1.0287303521154163,1.0287303521154163,0.19689872137971504,1.0582861373635084,0.52294921875,-1.5,sigmoid
prox,512,8,364,5.266678810119629,5.224667508792662,0.04201130132696651,0.04201130132696651,0.008040952128774728,0.001764949439185178,0.52294921875,-1.5,sigmoid
ipw,512,8,364,4.130241870880127,5.224667508792662,-1.0944256379125354,1.0944256379125354,0.2094727819656872,1.1977674769202602,0.52294921875,-1.5,sigmoid
impute,512,8,364,3.0252397060394287,5.224667508792662,-2.1994278027532337,2.1994278027532337,0.4209699084299216,4.837482659523918,0.52294921875,-1.5,sigmoid
scope,512,8,364,4.776758598264492,5.224667508792662,-0.44790891052817017,0.44790891052817017,0.08572964878135848,0.20062239213053235,0.52294921875,-1.5,sigmoid
naive,512,8,365,4.326578140258789,5.220106781777241,-0.8935286415184516,0.8935286415184516,0.17117056774348977,0.7983934332138095,0.524658203125,-1.5,sigmoid
prox,512,8,365,5.2864089012146,5.220106781777241,0.06630211943735898,0.06630211943735898,0.012701295626520826,0.0043959710418858145,0.524658203125,-1.5,sigmoid
ipw,512,8,365,4.564095497131348,5.220106781777241,-0.656011284645893,0.656011284645893,0.1256700891514229,0.43035080558275485,0.524658203125,-1.5,sigmoid
impute,512,8,365,0.45916980504989624,5.220106781777241,-4.760936976727344,4.760936976727344,0.912038235184613,22.666520896369708,0.524658203125,-1.5,sigmoid
scope,512,8,365,4.4088402451994915,5.220106781777241,-0.8112665365777492,0.8112665365777492,0.1554118661728879,0.6581533933708564,0.524658203125,-1.5,sigmoid
naive,512,8,366,4.235401153564453,5.204165318097627,-0.9687641645331739,0.9687641645331739,0.18615168914105593,0.9385040064836585,0.54248046875,-1.5,sigmoid
prox,512,8,366,5.1341552734375,5.204165318097627,-0.07001004466012706,0.07001004466012706,0.01345269421335737,0.004901406353312985,0.54248046875,-1.5,sigmoid
ipw,512,8,366,5.807045936584473,5.204165318097627,0.6028806184868456,0.6028806184868456,0.11584578537317249,0.3634650401470815,0.54248046875,-1.5,sigmoid
impute,512,8,366,2.321904420852661,5.204165318097627,-2.882260897244966,2.882260897244966,0.5538373055179137,8.307427879787356,0.54248046875,-1.5,sigmoid
scope,512,8,366,4.2306350550238045,5.204165318097627,-0.9735302630738225,0.9735302630738225,0.18706751295704316,0.947761173120586,0.54248046875,-1.5,sigmoid
naive,512,8,367,4.200013160705566,5.221874546867918,-1.0218613861623513,1.0218613861623513,0.19568861277513153,1.044200692529642,0.5595703125,-1.5,sigmoid
prox,512,8,367,5.168440818786621,5.221874546867918,-0.05343372808129665,0.05343372808129665,0.010232671735353393,0.00285516329666595,0.5595703125,-1.5,sigmoid
ipw,512,8,367,4.352468967437744,5.221874546867918,-0.8694055794301736,0.8694055794301736,0.16649300392550476,0.7558660615443159,0.5595703125,-1.5,sigmoid
impute,512,8,367,0.9576493501663208,5.221874546867918,-4.264225196701597,4.264225196701597,0.8166081276807542,18.183616528184775,0.5595703125,-1.5,sigmoid
scope,512,8,367,4.83207614349324,5.221874546867918,-0.3897984033746775,0.3897984033746775,0.07464721717768551,0.1519427952734478,0.5595703125,-1.5,sigmoid
