method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
ipw,1024,8,351,4.1333489418029785,4.904773373793537,-0.7714244319905585,0.7714244319905585,0.15728034165907032,0.5950956542719559,0.3668212890625,-0.7
impute,1024,8,351,-5.042924404144287,4.904773373793537,-9.947697777937824,9.947697777937824,2.0281666490625025,98.95669108118912,0.3668212890625,-0.7
scope,1024,8,351,4.792413465425756,4.904773373793537,-0.11235990836778065,0.11235990836778065,0.022908277264781604,0.012624749008416064,0.3668212890625,-0.7
naive,1024,8,352,4.0428853034973145,4.887095783153154,-0.8442104796558398,0.8442104796558398,0.17274277344143954,0.7126913339607431,0.372314453125,-0.7
prox,1024,8,352,4.819561004638672,4.887095783153154,-0.06753477851448242,0.06753477851448242,0.013819000386137098,0.004560946309000196,0.372314453125,-0.7
ipw,1024,8,352,4.1120805740356445,4.887095783153154,-0.7750152091175098,0.7750152091175098,0.15858400234125755,0.6006485743634574,0.372314453125,-0.7
impute,1024,8,352,-0.8621426224708557,4.887095783153154,-5.74923840562401,5.74923840562401,1.1764120575338102,33.05374224470211,0.372314453125,-0.7
scope,1024,8,352,4.87726529418866,4.887095783153154,-0.009830488964494677,0.009830488964494677,0.0020115196019653303,9.663851328105162e-05,0.372314453125,-0.7
naive,1024,8,353,4.083592414855957,4.895062036280728,-0.811469621424771,0.811469621424771,0.16577310265128453,0.6584829464952611,0.3824462890625,-0.7
prox,1024,8,353,4.896829128265381,4.895062036280728,0.0017670919846528577,0.0017670919846528577,0.0003609948089637482,3.1226140822243752e-06,0.3824462890625,-0.7
ipw,1024,8,353,4.230865001678467,4.895062036280728,-0.6641970346022612,0.6641970346022612,0.13568715364165612,0.4411577007744374,0.3824462890625,-0.7
impute,1024,8,353,-0.2744958996772766,4.895062036280728,-5.169557935958005,5.169557935958005,1.0560760819051516,26.724329253226387,0.3824462890625,-0.7
scope,1024,8,353,4.2200653149603635,4.895062036280728,-0.6749967213203645,0.6749967213203645,0.1378933946735489,0.4556205737932418,0.3824462890625,-0.7
naive,1024,8,354,3.970282554626465,4.884879685583619,-0.9145971309571541,0.9145971309571541,0.1872302267047306,0.8364879119550577,0.37646484375,-0.7
prox,1024,8,354,4.759346008300781,4.884879685583619,-0.1255336772828377,0.1255336772828377,0.02569841743560561,0.015758704132151646,0.37646484375,-0.7
ipw,1024,8,354,4.001938343048096,4.884879685583619,-0.8829413425355233,0.8829413425355233,0.18074986475947036,0.7795854143584322,0.37646484375,-0.7
impute,1024,8,354,-2.1790518760681152,4.884879685583619,-7.063931561651734,7.063931561651734,1.4460809715537086,49.89912910769951,0.37646484375,-0.7
scope,1024,8,354,4.555605510314205,4.884879685583619,-0.32927417526941394,0.32927417526941394,0.06740681377295253,0.10842148249935273,0.37646484375,-0.7
naive,1024,8,355,4.383969306945801,4.897969456710409,-0.5140001497646081,0.5140001497646081,0.10494147713812463,0.2641961539580395,0.36572265625,-0.7
prox,1024,8,355,5.134438514709473,4.897969456710409,0.23646905799906381,0.23646905799906381,0.04827899808053968,0.055917615390964605,0.36572265625,-0.7
ipw,1024,8,355,4.427581310272217,4.897969456710409,-0.47038814643819205,0.47038814643819205,0.0960373784678755,0.221265008309558,0.36572265625,-0.7
impute,1024,8,355,0.19826485216617584,4.897969456710409,-4.699704604544233,4.699704604544233,0.9595210109171781,22.087223369974264,0.36572265625,-0.7
scope,1024,8,355,5.156269509580527,4.897969456710409,0.25830005287011826,0.25830005287011826,0.052736150184896954,0.06671891731270589,0.36572265625,-0.7
naive,1024,8,356,4.011102199554443,4.908664619390358,-0.8975624198359142,0.8975624198359142,0.18285266756468463,0.805618297501702,0.3831787109375,-0.7
prox,1024,8,356,4.8533477783203125,4.908664619390358,-0.055316841070045086,0.055316841070045086,0.011269223986403716,0.003059952905968627,0.3831787109375,-0.7
ipw,1024,8,356,3.9630377292633057,4.908664619390358,-0.9456268901270519,0.9456268901270519,0.19264442846463936,0.8942102153313596,0.3831787109375,-0.7
impute,1024,8,356,-3.904074192047119,4.908664619390358,-8.812738811437477,8.812738811437477,1.7953434375257835,77.66436535861644,0.3831787109375,-0.7
scope,1024,8,356,5.05342026501505,4.908664619390358,0.14475564562469234,0.14475564562469234,0.029489821947271393,0.02095419694022151,0.3831787109375,-0.7
naive,1024,8,357,4.070211887359619,4.884048226284673,-0.8138363389250536,0.8138363389250536,0.16663151165158419,0.6623295865549347,0.3756103515625,-0.7
prox,1024,8,357,4.907283782958984,4.884048226284673,0.023235556674311653,0.023235556674311653,0.0047574380099819555,0.0005398910939651488,0.3756103515625,-0.7
ipw,1024,8,357,4.2151007652282715,4.884048226284673,-0.6689474610564012,0.6689474610564012,0.1369657771715481,0.44749070565380544,0.3756103515625,-0.7
impute,1024,8,357,0.8329850435256958,4.884048226284673,-4.051063182758977,4.051063182758977,0.8294478258746939,16.41111291070529,0.3756103515625,-0.7
scope,1024,8,357,4.95540191106069,4.884048226284673,0.07135368477601745,0.07135368477601745,0.01460953730800825,0.0050913483311152636,0.3756103515625,-0.7
naive,1024,8,358,4.163730621337891,4.887609892692401,-0.7238792713545106,0.7238792713545106,0.14810496075736368,0.5240011994967372,0.3631591796875,-0.7
prox,1024,8,358,5.007785797119141,4.887609892692401,0.12017590442673942,0.12017590442673942,0.02458786749867613,0.014442248004784808,0.3631591796875,-0.7
